drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
2-FUROYL-LIGRLO-AMIDE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AY77,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
I-191,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
I-287,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
ISOX-CHA-CHG-ALA-ARG-DPR(4FB)-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
GB110,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
C391,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
[3H]2-FUROYL-LIGRL-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
CN-105,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
P2PAL18S,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
