drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,drug_score
BUTHIONINE SULFOXIMINE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
DONEPEZIL,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
GANCICLOVIR,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
BUPROPION HYDROCHLORIDE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
PRAVASTATIN SODIUM,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
ACE INHIBITOR,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
HEPARIN,3,2,0.5751323676332534,0.19171078921108445,0.2206464552073358,0.16049382716049376,0.06407997839650767,0.3505585620762519,2,0.13333333333333333,0.09047619047619047,0.05714285714285714,0.16666666666666666,0.0898825402920548,0.43149568698599244,0.16666666666666666,0.125,0.09473684210526316,0.17043895634440506
ANTIDEPRESSANT AGENT,2,1,0.48905951727558306,0.24452975863779153,0.3393030571873309,0.19135802469135796,0.16695014177673934,0.37528110944527737,2,0.1,0.08333333333333334,0.02857142857142857,0.08333333333333333,0.07426737284097604,0.6349468049867719,0.16666666666666666,0.0763888888888889,0.07894736842105265,0.1678534318241475
IMMUNOSUPPRESSANT,3,1,0.5596939085340988,0.18656463617803296,0.3393030571873309,0.1152263374485596,0.12414215611027579,0.3203254149752633,3,0.1,0.08253968253968254,0.05714285714285714,0.08333333333333333,0.08708172536588282,0.4116734413166547,0.3333333333333333,0.0763888888888889,0.07719298245614035,0.16621101206432554
TESTOSTERONE,1,1,0.3097835423608734,0.3097835423608734,0.3097835423608734,0.1358024691358024,0.3823806452564623,0.4111675126903553,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.04174347759856506,0.886295049686323,0.0,0.0,0.0,0.1621262863059948
EPERISONE,1,1,0.3097835423608734,0.3097835423608734,0.3097835423608734,0.1358024691358024,0.3823806452564623,0.4111675126903553,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.04174347759856506,0.886295049686323,0.0,0.0,0.0,0.1621262863059948
TOLPERISONE,1,1,0.3097835423608734,0.3097835423608734,0.3097835423608734,0.1358024691358024,0.3823806452564623,0.4111675126903553,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.04174347759856506,0.886295049686323,0.0,0.0,0.0,0.1621262863059948
DEHYDRATED ALCOHOL,1,1,0.3097835423608734,0.3097835423608734,0.3097835423608734,0.1358024691358024,0.3823806452564623,0.4111675126903553,1,0.047619047619047616,0.047619047619047616,0.0,0.08333333333333333,0.04174347759856506,0.886295049686323,0.0,0.0,0.0,0.1621262863059948
