drug,community,targets_in_module,module_size,module_coverage
EVEROLIMUS,3,1,9,0.1111111111111111
EXEMESTANE,1,1,19,0.05263157894736842
FAM-TRASTUZUMAB DERUXTECAN-NXKI,1,1,19,0.05263157894736842
FAMITINIB,1,1,19,0.05263157894736842
FARNESYL TRANSFERASE INHIBITOR,3,1,9,0.1111111111111111
FAS LIGAND,1,1,19,0.05263157894736842
FAT EMULSION,2,1,12,0.08333333333333333
FENOFIBRATE MICRONIZED,1,1,19,0.05263157894736842
FENOFIBRATE MICRONIZED,5,1,8,0.125
FENTANYL CITRATE,1,2,19,0.10526315789473684
FERB 033,1,1,19,0.05263157894736842
"FIBRINOGEN, HUMAN",2,3,12,0.25
FIDANACOGENE ELAPARVOVEC,2,1,12,0.08333333333333333
FIDUXOSIN HYDROCHLORIDE,5,1,8,0.125
FIMEPINOSTAT,2,1,12,0.08333333333333333
FIRATEGRAST,0,1,3,0.3333333333333333
FISPEMIFENE,1,1,19,0.05263157894736842
FLECAINIDE ACETATE,6,1,9,0.1111111111111111
FLOVAGATRAN,2,1,12,0.08333333333333333
FLUFENAMIC ACID,4,2,6,0.3333333333333333
FLUOROURACIL,1,2,19,0.10526315789473684
FLUOROURACIL,3,2,9,0.2222222222222222
FLUPIRTINE,6,1,9,0.1111111111111111
FLUPROSTENOL,5,2,8,0.25
FLUTAMIDE,3,1,9,0.1111111111111111
FLUVASTATIN,5,1,8,0.125
FORETINIB,1,1,19,0.05263157894736842
FOSPHENYTOIN,6,2,9,0.2222222222222222
FULVESTRANT,1,1,19,0.05263157894736842
G&OUML; 6976,6,1,9,0.1111111111111111
G&OUML; 6983,6,1,9,0.1111111111111111
GALANTAMINE,5,1,8,0.125
GALLIUM NITRATE,1,1,19,0.05263157894736842
GANCICLOVIR,5,1,8,0.125
GARLIC,2,1,12,0.08333333333333333
GB110,5,1,8,0.125
GB88,5,1,8,0.125
GDC-0339,2,2,12,0.16666666666666666
GEDATOLISIB,1,1,19,0.05263157894736842
GEDATOLISIB,2,1,12,0.08333333333333333
GELDANAMYCIN,1,1,19,0.05263157894736842
GEMCITABINE,1,1,19,0.05263157894736842
GEMCITABINE,3,1,9,0.1111111111111111
GEMFIBROZIL,1,1,19,0.05263157894736842
GENISTEIN,1,1,19,0.05263157894736842
GENISTEIN,2,1,12,0.08333333333333333
GILMELISIB,2,1,12,0.08333333333333333
GINKGO BILOBA EXTRACT,5,1,8,0.125
GLATIRAMER,1,1,19,0.05263157894736842
GMA-161,1,1,19,0.05263157894736842
GNE-7883,1,1,19,0.05263157894736842
GOSERELIN ACETATE,1,1,19,0.05263157894736842
GSK-2647544,5,1,8,0.125
GSK1059615,2,1,12,0.08333333333333333
GW274150,1,1,19,0.05263157894736842
H2O2,1,1,19,0.05263157894736842
HAEMATOXYLIN,2,1,12,0.08333333333333333
HEPARIN,1,1,19,0.05263157894736842
HEPARIN,2,2,12,0.16666666666666666
HEPATITIS B VACCINE,1,1,19,0.05263157894736842
HESPERADIN,1,1,19,0.05263157894736842
HEXAMETHONIUM,3,1,9,0.1111111111111111
HEXYLCAINE,6,2,9,0.2222222222222222
HEXYLCAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
HIRUDIN,2,1,12,0.08333333333333333
HMG-COA REDUCTASE INHIBITOR,1,1,19,0.05263157894736842
HMN-214,3,1,9,0.1111111111111111
HPTE,1,1,19,0.05263157894736842
HS-173,2,1,12,0.08333333333333333
HUMAN C1-ESTERASE INHIBITOR,2,1,12,0.08333333333333333
HUMAN C1-ESTERASE INHIBITOR,4,1,6,0.16666666666666666
HUMAN CHORIONIC GONADOTROPIN,5,1,8,0.125
HYALURONIC ACID,1,1,19,0.05263157894736842
HYDROCHLOROTHIAZIDE,1,1,19,0.05263157894736842
HYDROCHLOROTHIAZIDE,3,2,9,0.2222222222222222
HYDROCORTISONE BUTYRATE,2,1,12,0.08333333333333333
HYDROGEN PEROXIDE,2,1,12,0.08333333333333333
I-191,5,1,8,0.125
I-287,5,1,8,0.125
I-BOP,5,1,8,0.125
I-SAP,5,1,8,0.125
IBUDILAST,1,1,19,0.05263157894736842
"IBUPROFEN, SODIUM SALT",1,1,19,0.05263157894736842
ICHORCUMAB,2,1,12,0.08333333333333333
ICI 192605,5,1,8,0.125
ICI-164384,1,1,19,0.05263157894736842
IDELALISIB,2,1,12,0.08333333333333333
IDOXIFENE,1,1,19,0.05263157894736842
IFETROBAN,5,1,8,0.125
IFOSFAMIDE,1,1,19,0.05263157894736842
IL-18,1,1,19,0.05263157894736842
IL-6,1,1,19,0.05263157894736842
ILOPROST,5,3,8,0.375
ILORASERTIB,1,1,19,0.05263157894736842
ILORASERTIB,3,1,9,0.1111111111111111
IMATINIB,1,1,19,0.05263157894736842
IMGATUZUMAB,1,1,19,0.05263157894736842
IMIPENEM-CILASTATIN SODIUM,1,1,19,0.05263157894736842
IMMUNOSUPPRESSANT,1,1,19,0.05263157894736842
IMMUNOSUPPRESSANT,3,1,9,0.1111111111111111
IMMUNOSUPPRESSANT,5,1,8,0.125
